playerid,playername,position
c4d33785-261d-4233-995b-b3d001670f92,Lucas Cashmore,Fly Half
7b1ad344-b518-4539-b380-b3d00159baaa,Luke Jacobson,Loose Forward
727089bf-a742-45c6-a111-b3d00159ef45,Luke Reimer,Loose Forward
5650d289-14e7-4c9b-be4a-b3d0015e9c45,Lukhan Salakaia-Loto,Lock
f2494e6e-ab70-4011-80b4-b3d0015997f7,Mac Grealy,Outside Back
187355cf-3bdf-474c-bdbd-b3d00159d866,Macca Springer,Outside Back
382e0a1e-d633-4315-a1b2-b3d0016710c3,Maika Tuitubou,Midfielder
9db0359d-9705-4f3f-ba93-b3d00166c450,Malachi Wrampling-Alec,Loose Forward
af8cdb56-d174-4db2-aa5b-b3d001671272,Maloni Kunawave,Outside Back
d26dcfa7-de95-40d4-8eab-b3d0015eac04,Manasa Mataele,Outside Back
2608cfc6-24ef-4259-a64b-b3f501241e19,Matolu Petaia,Loose Forward
1bb8cd93-b535-47f0-8a65-b3d0016713fc,Matt Philip,Lock
fb0c7516-6361-440a-bf72-b3d0015e73a3,Max Burey,Outside Back
af34f0a4-a149-4f41-8702-b3d00159d4f0,Max Jorgensen,Outside Back
2f082968-d82a-4d66-a8e6-b3d0015e7cec,Melani Matavao,Half Back
075b4f04-bfe6-4f8a-a26d-b3d0015e5ed6,Mesake Vocevoce,Lock
c3966b5f-2bcf-4c2f-b38e-b43401121382,Michael Loft,Loose Forward
a9756704-79c7-4c83-905f-b3d00167154d,Michael McDonald,Half Back
bd5ad224-bf93-4c6d-9e88-b3d00166b12e,Miles Amatosero,Lock
186f338e-18eb-45c6-a972-b3d001599cba,Miracle Faiilagi,Loose Forward
d7de7fbe-c73d-4399-b097-b43401016ec2,Mitchell Drummond,Half Back
3ccebd8b-db3f-4084-a01c-b3d0015ea856,Mitchell Dunshea,Lock
6297dd0c-3212-40c5-bf45-b3d0015e7a8f,Moana Pasifika Front Row,Front Row
a45f9fa4-41a4-482a-98de-b3d0015e53cc,Motikiai Murray,Loose Forward
47ae4ee1-18ee-4ff7-adb4-b3d0015e6e91,Naitoa Ah Kuoi,Lock
302893c1-7211-4b6f-9145-b3d00159f9f7,Nathan Hastie,Half Back
7c180754-9ed8-45e2-b41f-b3d001671687,Ngani Laumape,Midfielder
08986187-ca7e-40c1-87f8-b3d00159d3b2,Ngantungane Punivai,Outside Back
867aa261-bc0a-405a-ba81-b42600ffd591,Nic Shearer,Half Back
8cdd57f9-2857-4f03-a232-b3d0015e5b6a,Nicholas Champion de Crespigny,Loose Forward
aa2f06c5-8d05-4bd6-a432-b3d001671844,Nick Conway,Outside Back
2a8ce923-0b07-4607-a242-b3d00159f3e7,Nick Frost,Lock
ac2864a3-0c27-4163-80ff-b3d001671967,Niko Jones,Loose Forward
fafc3339-feed-4846-8396-b3d0015ea3ec,Nikora Broughton,Loose Forward
503ebc3b-cb20-46fa-b6c5-b3d00159f782,Noah Hotham,Half Back
9ece93db-179a-4f1f-a52c-b3d00166c6d7,Ofa Tauatevalu,Lock
947ba5aa-3df1-492d-9011-b3d0015eb89d,Ola Tauelangi,Loose Forward
dff0ef7f-0af3-4e50-8b6f-b43401016c86,Oli Mathis,Loose Forward
0fd3f5bd-d9c0-4047-b5ac-b3d0015ec73e,Oliver Haig,Loose Forward
b54f4a7f-bfd0-4e94-8fab-b3d00159e0e1,Ollie Sapsford,Outside Back
a3012d14-8909-4cc8-a393-b3d00159c55b,Patrick Pellegrini,Fly Half
73001f4f-7b58-4073-93ed-b3d0015e4e3f,Patrick Tuipulotu,Lock
c677a051-e8f1-4dae-bb3c-b3d001671b12,Payton Spencer,Outside Back
86bcf328-c904-4ffe-8875-b3d001671c47,Pete Samu,Loose Forward
e05e477b-4e43-49bd-8799-b3d00159b983,Peter Lakai,Loose Forward
3b7e4c50-76f1-47fa-8dfa-b3d0015ea1a2,Philip Baselala,Half Back
e8c89d26-8d71-41d8-baf2-b3d001671d86,Pita Ahki,Midfielder
c29341c2-a17a-47e3-bdf6-b3d001599df4,Ponipate Loganimasi,Outside Back
3d072912-fbba-41d7-9b93-b3d00159a2bb,Quinn Tupaea,Midfielder
842e57e0-8ec3-45ac-9feb-b3d00159dab0,Reds Front Row,Front Row
86fe4a8d-f250-4b36-8080-b3d0015ec4ae,Reesjan Pasitoa,Fly Half
96718b97-68d8-4d05-9075-b43401016a90,Reon Paul,Outside Back
8c91eea2-41e4-470f-a17c-b3d001671eb2,Rico Simpson,Fly Half
bb575472-40e0-4ab6-bb2e-b3d0015e783c,Riley Higgins,Midfielder
6ba1fe11-888f-433e-944f-b3d00159be6b,Rivez Reihana,Fly Half
17925ffa-3302-4ff2-8d96-b3d00159e826,Rob Valetini,Loose Forward
8e07bdab-78ad-4a19-b139-b3d001671ff1,Ronan Leahy,Outside Back
00d76fe4-b144-4089-8c81-b3d0015e45ea,Rory Scott,Loose Forward
157c330e-fda7-45de-bdce-b3d00159a068,Ruben Love,Outside Back
d5dff33e-8bf6-410e-94f0-b3d0015e4ae1,Ryan Lonergan,Half Back
91cf392e-9187-4ed8-96b9-b3d001672121,Sam Darry,Lock
5de0539d-9311-4234-833e-b3d0015e9512,Sam Nock,Half Back
3acb4f44-b27a-4bc2-b374-b3fc0125de28,Sam Tuitupou,Loose Forward
91ce996d-597d-4d2e-84d7-b3d00159e952,Samipeni Finau,Loose Forward
a77649a4-57ce-47c7-b9bd-b3d0015a08d0,Scott Barrett,Lock
aeca68f1-15ae-45c0-a4e6-b3d0015a0742,Sean Withy,Loose Forward
dc8c2baa-74e2-45a0-9152-b3d00166a880,Semisi Paea,Loose Forward
478ca0db-ac79-47ca-ae9d-b3d00159a9ee,Semisi Tupou Ta'eiloa,Loose Forward
b741a265-19a8-4c5f-a7f2-b3d00159d298,Seru Uru,Loose Forward
0fccd1f7-a500-4e11-bac5-b3d001598e55,Sevu Reece,Outside Back
edce94bf-4a71-46dc-8af5-b3d00167224d,Shane Wilcox,Outside Back
2192ad20-dc61-4bb6-9cc4-b3d00167239a,Siaosi Nginingini,Half Back
6dd2ea3f-c8f4-4478-a592-b3d0016724d9,Sid Harvey,Outside Back
51428d4f-88ef-4fce-865d-b3d0015e5db3,Simione Kuruvoli,Half Back
64388506-f68c-4db8-a940-b3d00159e49d,Simon Parker,Loose Forward
417659d8-fa12-4d40-9a0d-b3f501241f53,Simon-Peter Toleafoa,Outside Back
cae2101c-0fce-4b9d-b4f2-b3d0015e49da,Solomon Alaimalo,Outside Back
9ab4824d-2185-4f6c-bc26-b3d001672626,Stanley Solomon,Outside Back
27730d88-edd3-4813-9a7b-b3d00166b2c1,Stephen Perofeta,Outside Back
f6488867-297d-4564-b4b1-b3d0015e48cf,TK Howden,Loose Forward
6647be22-e310-46bc-aeed-b3d0015a0a14,Taha Kemara,Fly Half
61492533-8716-4014-af9e-b3d0015ec5b4,Tahlor Cahill,Lock
df6f6c83-a2ab-4965-93a9-b3d00166b7ca,Tai Cribb,Lock
3692884d-8476-439c-9214-b3d0015a0b32,Taine Robinson,Outside Back
7b67d942-af02-47d0-a5e3-b40a0111c51a,Taj Annan,Midfielder
7e52504f-6f2f-4f5a-8c33-b3d0015a0394,Tane Edmed,Fly Half
ba07566c-99e8-4101-b94b-b3d00159f2c9,Taniela Rakuro,Outside Back
389c12cd-230a-4ec2-bbc9-b3d00159e224,Tanielu Tele'a,Midfielder
0ab24ad3-b132-4a04-b246-b3d00159a652,Tate McDermott,Half Back
db9cce94-bd7c-48d7-9b46-b3d0015eb048,Taufa Funaki,Half Back
20d1ab71-3b68-4249-94ca-b3d00166c816,Te Toiroa Tahuriorangi,Half Back
897b8a63-0c8d-4164-91b1-b3d00159fd84,Teddy Wilson,Half Back
4f6bb6d7-869b-456a-89df-b3d0016727cb,Temo Mayanavanua,Lock
563b8c04-74c8-461e-ae82-b3d00167291d,Tepaea Cook-Savage,Fly Half
dc803e88-a223-4dbc-8b6a-b3d001672a5c,Terrell Peita,Loose Forward
e32f06fe-464e-4322-a617-b3d001672c0b,Tevita Latu,Midfielder
4c7881e3-3a6d-4e4c-b03e-b3d00159c8e9,Tevita Ofa,Outside Back
7a6915e2-49b4-4b58-9517-b3d00159cdc8,Tim Ryan,Outside Back
94d47e01-4ca3-48de-a0c5-b3d0015990d8,Timoci Tavatavanawai,Midfielder
1843acf7-23a6-4a2f-9ad2-b3d00166c316,Titi Nofoagatotoa,Loose Forward
a36e20dc-29bb-4d7d-b0fa-b3d0016a98c1,Toby Bell,Midfielder
47f0208f-3f79-4533-b3b6-b3d0016a9a1c,Toby Macpherson,Lock
5e507072-7867-4887-b6f3-b3d0016a9b7b,Tom Allen,Lock
81dfb01c-e185-4eef-9f1e-b3d00159a8b8,Tom Lynagh,Fly Half
d5bd6123-ed91-4350-a3fa-b3ee0105fe0a,Tom Robinson,Loose Forward
42516052-483c-4d4c-8c4c-b3d0015ea4f7,Tom Savage,Lock
6e48c6a3-65eb-4a54-a742-b3d001599473,Tom Wright,Outside Back
345cbc97-42d0-48cc-8c98-b3d0016a9cac,Tomas Lavanini,Lock
7b3e0321-28a2-4b06-80bb-b3f50124176e,Torian Barnes,Loose Forward
bc863805-607b-488d-9de4-b3d0016a9e7c,Treyvon Pritchard,Outside Back
